Date : 2022-11-04 13:26:35
Directory : c:\Users\antho\Documents\GitHub\Software_Project\ALDI_APP\app
Total : 83 files,  23484 codes, 41 comments, 47 blanks, all 23572 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     23,539 |          0 |         -1 |     23,538 |
| CSS        |          3 |         61 |          0 |          8 |         69 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          2 |         19 |         23 |          1 |         43 |
| XML        |          1 |          1 |          0 |          0 |          1 |
| JavaScript |         68 |       -174 |         18 |          6 |       -150 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         83 |     23,484 |         41 |         47 |     23,572 |
| ..                                                                                                                     |         51 |     -6,806 |       -185 |       -134 |     -7,125 |
| ..\server                                                                                                              |         51 |     -6,806 |       -185 |       -134 |     -7,125 |
| ..\server\_helpers                                                                                                     |          1 |          0 |        -20 |         -5 |        -25 |
| ..\server\config                                                                                                       |          3 |        -22 |         -1 |         -4 |        -27 |
| ..\server\controllers                                                                                                  |          8 |       -276 |        -31 |        -47 |       -354 |
| ..\server\middleware                                                                                                   |          4 |        -60 |         -3 |        -12 |        -75 |
| ..\server\migrations                                                                                                   |          7 |       -273 |         -7 |          0 |       -280 |
| ..\server\models                                                                                                       |          8 |       -221 |       -114 |        -10 |       -345 |
| ..\server\other                                                                                                        |          1 |        -22 |          0 |          0 |        -22 |
| ..\server\public                                                                                                       |          4 |        -35 |          0 |         -2 |        -37 |
| ..\server\public\static                                                                                                |          1 |          0 |          0 |         -1 |         -1 |
| ..\server\public\static\js                                                                                             |          1 |          0 |          0 |         -1 |         -1 |
| ..\server\routes                                                                                                       |         10 |        -69 |         -2 |        -25 |        -96 |
| ..\server\routes\api                                                                                                   |          2 |        -20 |         -1 |         -6 |        -27 |
